id,price,bedrooms,bathrooms,latitude,longitude,address,zip_code,size,title
00e20625-cd10-47c9-9496-19a47f2eb6f5,8742,3,2,9.03841637057247,-1.16062995608407,"43, Random Street, Legon",,864,Legon Student Housing
01867489-642b-4b1a-bdb4-cfd13c27a7b6,18231,6,4,10.0228241152689,-1.31127236251437,"170, Random Street, Ho",,1838,Ho Tranquil Haven
0212a048-e019-4aa0-9f68-d893825cfab1,43720,2,4,7.61024477041843,-2.52073877734011,"33, Random Street, Cape",,1841,Cape Coast Sea View
021484e9-40b8-4dc7-8eaa-1dc418e1fb2b,12799,2,4,9.05566179959467,-2.11598309689025,"197, Random Street, Cape",,1083,Cape Coast Sea View
022ff5cc-8d23-443c-bf51-bac51a2242e4,78686,5,1,6.90010534391603,-1.70955824183152,"57, Random Street, Tamale",,540,Tamale Modern Apartment
024f0cb1-d1db-4516-bccc-b8bd8d20ebee,62495,6,3,8.19200301206988,-1.34291087645554,"176, Random Street, Tamale",,1962,Tamale Modern Apartment
0257b4e5-30a8-43fb-ab55-ba70254d0431,26829,1,2,6.35447471415001,-0.0861729865973273,"82, Random Street, Aburi",,1257,Aburi Hills Mansion
02939cfa-d9ba-48d6-a45e-3a55cf6e06d3,46471,2,2,6.68605645689671,-2.11613351484247,"97, Random Street, Legon",,620,Legon Student Housing
02a71522-2afb-4da8-830f-0b1aa591eace,97062,3,1,5.93224925823975,-0.433270883295312,"177, Random Street, Tamale",,1660,Tamale Modern Apartment
030a3fe4-5056-449c-96b4-b2622f8bceaf,76061,4,2,5.38890406223541,-1.84204743538151,"150, Random Street, Takoradi",,722,Takoradi Executive Lodge
033010e5-43ff-4708-80ab-1d5ccf8b0d0c,55197,5,1,6.82536590998539,-0.567956492223832,"141, Random Street, Cape",,1529,Cape Coast Sea View
03507ffa-02fd-467f-8f94-a3ac3918a34b,83294,5,5,5.50806140896988,-0.998988885809221,"63, Random Street, Bolgatanga",,885,Bolgatanga Brick Estate
040f4603-ae02-48bc-badd-3bc63184b0fb,64230,1,1,10.8085871334961,-0.939411612773916,"139, Random Street, Kumasi",,1095,Kumasi Villa Retreat
04c2e886-5f53-4139-97fc-1d4182886b04,17179,1,2,8.57406610037494,-0.54262648075315,"1, Random Street, Kumasi",,586,Kumasi Villa Retreat
0561529d-fca0-47e4-a2aa-276797e31fa3,72271,6,1,8.56835782123914,-0.969011087368667,"118, Random Street, Tamale",,890,Tamale Modern Apartment
05817691-161e-4872-842a-714252850777,84031,6,1,5.96767269749837,-0.631500558174466,"54, Random Street, Kumasi",,500,Kumasi Villa Retreat
05d01c44-2eb3-4a1b-9c57-d254e7f0f345,58101,3,2,8.58608496303202,-2.45338248612152,"142, Random Street, Cape",,1220,Cape Coast Sea View
182e0b6a-4ca2-4cd9-8daa-812a3295d070,2500,3,3,5.630325,-0.135106,4th Main street,,2,Updated test property
