id,price,bedrooms,bathrooms,latitude,longitude,address,zip_code,size,title,area_sqm,price_per_sqm,predicted_price,price_diff_pct,schools_nearby,hospitals_nearby,malls_nearby,transit_nearby,location_factor,price_realistic,amenities_score,neighborhood_score
00e20625-cd10-47c9-9496-19a47f2eb6f5,200000.0,3,2,5.650639399999999,-0.1870506,"43, Random Street, Legon",,864,Legon Student Housing,80.268192,108.90989048314432,199958.22,-0.00020890625,9.0,7.0,8.0,2.0,1.8,207886.19648,82.0,82.0
01867489-642b-4b1a-bdb4-cfd13c27a7b6,200000.0,6,4,6.6101493,0.4785495,"170, Random Street, Ho",,1838,Ho Tranquil Haven,170.755714,106.76655892171198,200020.2,0.000101015625,20.0,20.0,13.0,3.0,1.0,290604.5712,87.5,87.5
0212a048-e019-4aa0-9f68-d893825cfab1,200000.0,2,4,7.946527,-1.023194,"33, Random Street, Cape",,1841,Cape Coast Sea View,171.034423,255.621057054696,199972.72,-0.00013640625,20.0,12.0,3.0,0.0,1.0,225827.5384,80.0,80.0
021484e9-40b8-4dc7-8eaa-1dc418e1fb2b,172836.0,2,4,7.946527,-1.023194,"197, Random Street, Cape",,1083,Cape Coast Sea View,100.613949,127.20900160672552,172995.0,0.0009199472332153024,20.0,12.0,3.0,0.0,1.0,169491.1592,80.0,80.0
022ff5cc-8d23-443c-bf51-bac51a2242e4,180313.0,5,1,9.4034226,-0.8424159999999999,"57, Random Street, Tamale",,540,Tamale Modern Apartment,50.16762,1568.4618883654437,180333.31,0.00011265133406909097,20.0,13.0,20.0,6.0,1.0,193634.096,95.0,95.0
024f0cb1-d1db-4516-bccc-b8bd8d20ebee,200000.0,6,3,9.4034226,-0.8424159999999999,"176, Random Street, Tamale",,1962,Tamale Modern Apartment,182.275686,342.8597712149057,199951.73,-0.000241328125,20.0,13.0,20.0,6.0,1.0,310320.5488,95.0,95.0
0257b4e5-30a8-43fb-ab55-ba70254d0431,115705.0,1,2,5.8511836,-0.1729106,"82, Random Street, Aburi",,1257,Aburi Hills Mansion,116.779071,229.7415090757144,115777.41,0.0006257832418650879,9.0,1.0,1.0,0.0,1.0,126923.2568,40.33333333333333,40.3
02939cfa-d9ba-48d6-a45e-3a55cf6e06d3,178419.0,2,2,5.650639399999999,-0.1870506,"97, Random Street, Legon",,620,Legon Student Housing,57.59986,806.7901553927388,178650.3,0.0012963690806472405,9.0,7.0,8.0,2.0,1.8,166243.7984,82.0,82.0
02a71522-2afb-4da8-830f-0b1aa591eace,200000.0,3,1,9.4034226,-0.8424159999999999,"177, Random Street, Tamale",,1660,Tamale Modern Apartment,154.21898,629.3777847577517,199968.14,-0.000159296875,20.0,13.0,20.0,6.0,1.0,266875.184,95.0,95.0
030a3fe4-5056-449c-96b4-b2622f8bceaf,151652.0,4,2,4.9015794,-1.7830973,"150, Random Street, Takoradi",,722,Takoradi Executive Lodge,67.075966,1133.9531062437477,151664.67,8.355890459736766e-05,16.0,8.0,2.0,0.0,1.2,145592.92735999997,71.66666666666666,71.7
033010e5-43ff-4708-80ab-1d5ccf8b0d0c,188634.0,5,1,7.946527,-1.023194,"141, Random Street, Cape",,1529,Cape Coast Sea View,142.048687,388.578037331665,197914.94,0.049200767093949126,20.0,12.0,3.0,0.0,1.0,208638.9496,80.0,80.0
03507ffa-02fd-467f-8f94-a3ac3918a34b,195577.0,5,5,10.7875419,-0.8579818,"63, Random Street, Bolgatanga",,885,Bolgatanga Brick Estate,82.219155,1013.0729268623596,195340.7,-0.001208203802083067,16.0,6.0,10.0,2.0,1.0,178775.324,85.0,85.0
040f4603-ae02-48bc-badd-3bc63184b0fb,200000.0,1,1,6.6666004,-1.6162709,"139, Random Street, Kumasi",,1095,Kumasi Villa Retreat,101.728785,631.3847157419603,199950.97,-0.00024515625,20.0,20.0,20.0,0.0,1.2,237259.6336,80.0,80.0
04c2e886-5f53-4139-97fc-1d4182886b04,184218.0,1,2,6.6666004,-1.6162709,"1, Random Street, Kumasi",,586,Kumasi Villa Retreat,54.441158,315.5517007922572,184533.94,0.0017150197049148291,20.0,20.0,20.0,0.0,1.2,195463.51168,80.0,80.0
0561529d-fca0-47e4-a2aa-276797e31fa3,200000.0,6,1,9.4034226,-0.8424159999999999,"118, Random Street, Tamale",,890,Tamale Modern Apartment,82.68367,874.0661850157352,199982.44,-8.78125e-05,20.0,13.0,20.0,6.0,1.0,224646.936,95.0,95.0
05817691-161e-4872-842a-714252850777,200000.0,6,1,6.6666004,-1.6162709,"54, Random Street, Kumasi",,500,Kumasi Villa Retreat,46.4515,1809.0050913318191,200147.28,0.00073640625,20.0,20.0,20.0,0.0,1.2,214193.44,80.0,80.0
05d01c44-2eb3-4a1b-9c57-d254e7f0f345,171678.0,3,2,7.946527,-1.023194,"142, Random Street, Cape",,1220,Cape Coast Sea View,113.34166,512.6182199907784,172048.12,0.0021559256282109533,20.0,12.0,3.0,0.0,1.0,178673.328,80.0,80.0
00678e4b-8b56-491c-95aa-068537bdcc53,179905.0,5,5,7.946527,-1.023194,"52, Random Street, Cape",,969,Cape Coast Sea View,90.02300699999999,980.3938231034653,179993.28,0.0004907103749200967,20.0,12.0,3.0,0.0,1.0,179018.4056,80.0,80.0
0618c7b3-3df5-403d-9ba5-ed1edd7be9b0,200000.0,6,3,6.6666004,-1.6162709,"93, Random Street, Kumasi",,1349,Kumasi Villa Retreat,125.326147,705.8543018959962,200024.97,0.00012484375,20.0,20.0,20.0,0.0,1.2,297113.10112,80.0,80.0
0666bcd9-8d2b-4500-9b1d-6b8964e3223a,183764.0,1,5,5.650639399999999,-0.1870506,"91, Random Street, Legon",,757,Legon Student Housing,70.327571,823.0911316416715,183822.4,0.0003178329270150846,9.0,7.0,8.0,2.0,1.8,191771.70224,82.0,82.0
066a504b-645e-4ed2-ae70-968ea02414e8,189197.0,5,5,5.8511836,-0.1729106,"125, Random Street, Aburi",,1649,Aburi Hills Mansion,153.197047,631.1805736046597,189011.7,-0.00097938590463908,9.0,1.0,1.0,0.0,1.0,185057.6376,40.33333333333333,40.3
06b0bbaa-df32-4b3f-99fa-9d36e3a51905,200000.0,2,1,7.3349414,-2.3123031,"132, Random Street, Sunyani",,1793,Sunyani Family Home,166.575079,366.1772239051437,199904.06,-0.0004796875,20.0,11.0,6.0,5.0,1.0,225760.0632,92.5,92.5
075ff12a-d37b-4839-a2d4-ffb13d152a7d,200000.0,1,5,5.650639399999999,-0.1870506,"53, Random Street, Legon",,1810,Legon Student Housing,168.15443,501.1405289768458,199882.14,-0.000589296875,9.0,7.0,8.0,2.0,1.8,332642.3792,82.0,82.0
07a535a4-2406-410a-8232-e659f6c17166,200000.0,2,2,6.6666004,-1.6162709,"175, Random Street, Kumasi",,1587,Kumasi Villa Retreat,147.437061,428.42687972463045,199861.94,-0.0006903125,20.0,20.0,20.0,0.0,1.2,290739.57856,80.0,80.0
09504aff-90e2-4e12-81ab-cfcb541e2938,129253.0,5,3,4.9015794,-1.7830973,"51, Random Street, Takoradi",,444,Takoradi Executive Lodge,41.248932,215.47224543898497,129255.016,1.55944156035063e-05,16.0,8.0,2.0,0.0,1.2,130398.97472,71.66666666666666,71.7
09ad0472-29a2-43f9-99c5-7cd99b7108cd,200000.0,4,1,6.6101493,0.4785495,"188, Random Street, Ho",,813,Ho Tranquil Haven,75.530139,408.4065037931414,190848.56,-0.0457571875,20.0,20.0,13.0,3.0,1.0,195424.1112,87.5,87.5
